Period,Provider_Code,Count_Join_Key,Sum_TotalCost,POD,HRG_Episode,TFC,EpType_Code,DATASET
FY2020-21,RBT,*,973.3055834,NEL,LA07L,300,1,PL_APC
FY2020-21,RRF,*,2899.014605,NEL,JD07G,300,1,PL_APC
FY2020-21,RAL,*,18434.47518,NEL,GC17D,306,2,PL_APC
FY2020-21,R0A,*,35862.4883,NEL,SA38B,308,1,PL_APC
FY2020-21,RBS,*,19041.64612,NELTR,JB55Z,220,2,PL_APC
FY2020-21,RBL,*,2788.67549,NEL,GC17H,106,1,PL_APC
FY2020-21,RA7,*,43675.07991,NEL,WD01Z,430,1,PL_APC
FY2020-21,RYJ,*,18627.66647,NEL,HN12A,110,2,PL_APC
FY2020-21,RTD,*,2515.580881,EL,FD11K,104,1,PL_APC
FY2020-21,REM,*,1027.805286,NEL,KC05J,305,2,PL_APC
FY2020-21,RX1,*,1552.925673,NES,DZ17T,315,1,PL_APC
FY2020-21,RJ1,*,32472.495,EL,LB63C,259,1,PL_APC
FY2020-21,R0A,*,24973.52459,EL,LA08L,102,2,PL_APC
FY2020-21,RGT,*,7605.231687,NEL,WJ03D,305,1,PL_APC
FY2020-21,R0A,*,11993.97909,EL,YQ22B,107,2,PL_APC
FY2020-21,RHM,*,9477.550368,NEL,HD40D,800,1,PL_APC
FY2020-21,RK9,*,1888.885018,NEL,FD03D,306,2,PL_APC
FY2020-21,RHQ,*,13312.18558,EL,AA61A,323,1,PL_APC
FY2020-21,RHM,*,90287.64838,NEL,PE23A,321,1,PL_APC
FY2020-21,RAL,*,2117.851925,NEL,WJ03E,105,2,PL_APC
FY2020-21,RC9,*,20861.88389,NEL,NZ50C,501,1,PL_APC
FY2020-21,RA7,*,3995.540651,EL,GB06E,105,2,PL_APC
FY2020-21,RP4,*,175983.1211,EL,SA20B,308,1,PL_APC
FY2020-21,RVR,*,2433.38405,NEL,LA08L,361,1,PL_APC
FY2020-21,RXN,*,72256.82423,NEL,AA52A,150,1,PL_APC
FY2020-21,RHQ,*,15239.34611,EL,FF31C,323,1,PL_APC
FY2020-21,RHQ,*,1336.25499,NEL,AA35D,400,1,PL_APC
FY2020-21,RHQ,*,33944.98231,EL,FF31D,323,1,PL_APC
FY2020-21,RHQ,*,53418.2542,EL,FF51C,323,1,PL_APC
FY2020-21,RBL,*,1258.462556,NEL,HT12E,110,1,PL_APC
FY2020-21,RJ7,*,1484.5032,NEL,DZ14G,322,1,PL_APC
FY2020-21,RNZ,*,1235.239264,NEL,FD10K,315,2,PL_APC
FY2020-21,RD1,*,1178.080495,NES,DX01A,190,1,PL_APC
FY2020-21,RX1,*,8071.353436,EL,FF01A,106,1,PL_APC
FY2020-21,RTK,*,2650.241513,NEL,WD02Z,315,2,PL_APC
FY2020-21,RHQ,*,151582.6197,EL,HC21D,323,1,PL_APC
FY2020-21,RX1,*,4876.816498,EL,YQ42Z,102,1,PL_APC
FY2020-21,RA7,*,50238.26541,NEL,UZ01Z,308,2,PL_APC
FY2020-21,RJ2,*,38664.52615,EL,UZ01Z,110,2,PL_APC
FY2020-21,RAN,*,189724.373,NEL,AA26C,314,1,PL_APC
FY2020-21,RJE,*,5913.792573,NEL,DZ65H,430,1,PL_APC
FY2020-21,RR8,*,13457.30829,EL,UZ01Z,171,2,PL_APC
FY2020-21,R0A,*,50896.61822,NEL,ED05Z,174,2,PL_APC
FY2020-21,RTG,*,16359.22397,NEL,EB03B,320,1,PL_APC
FY2020-21,RRV,*,3779.115529,EL,PM43B,253,1,PL_APC
FY2020-21,R0A,*,30093.12042,EL,SA26A,308,2,PL_APC
FY2020-21,RJ7,*,291.5665693,NEL,FF51E,322,1,PL_APC
